,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategory_penumpang
222,2021,8,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,9152,sepi penumpang (Angkutan Umum Integrasi)
223,2021,8,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,3862,sepi penumpang (Angkutan Umum Integrasi)
224,2021,8,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,22307,sepi penumpang (Angkutan Umum Integrasi)
225,2021,8,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,18891,sepi penumpang (Angkutan Umum Integrasi)
226,2021,8,Angkutan Umum Integrasi,3E,Sentraland Cengkareng - Puri Kembangan,16416,sepi penumpang (Angkutan Umum Integrasi)
227,2021,8,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,7866,sepi penumpang (Angkutan Umum Integrasi)
228,2021,8,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,18185,sepi penumpang (Angkutan Umum Integrasi)
229,2021,8,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,5409,sepi penumpang (Angkutan Umum Integrasi)
230,2021,8,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,7796,sepi penumpang (Angkutan Umum Integrasi)
231,2021,8,Angkutan Umum Integrasi,1M,Meruya - Blok M,15888,sepi penumpang (Angkutan Umum Integrasi)
232,2021,8,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,22581,sepi penumpang (Angkutan Umum Integrasi)
233,2021,8,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,51375,sepi penumpang (Angkutan Umum Integrasi)
